EC_number,Substrate,UniProt_ID,Protein_file,Organism_name,Km_value (mM),pH,Temperature,Site_type,Substrate_SMILES,Mol_file,pKm_value
4.1.3.1,(2R)-2-ethyl malate,Q05957,1ZLP.pdb,Dianthus caryophyllus,1.1,7.5,25°C,Substrate_only,C([C@H](O)CC(=O)[O-])(=O)OCC,mol_1883.sdf,0.041392685
4.1.3.1,(2R)-propyl-(3S)-methyl malate,Q05957,1ZLP.pdb,Dianthus caryophyllus,0.098,7.5,25°C,Substrate_only,C([C@H](O)CC(=O)[O-])(=O)OCCCC,mol_2725.sdf,-1.008773924
4.1.3.1,isocitrate,Q9I0K4,6G1O.pdb,Pseudomonas aeruginosa,0.44,7.8,30°C,Substrate_only,C(C(O)C(C(=O)[O-])CC(=O)[O-])(=O)[O-],mol_164.sdf,-0.356547324
4.1.3.1,isocitrate,P0A9G6,1IGW.pdb,Escherichia coli,0.25,-----,10°C,Substrate_only,C(C(O)C(C(=O)[O-])CC(=O)[O-])(=O)[O-],mol_164.sdf,-0.602059991
4.1.3.1,isocitrate,P0CT06,5E9G.pdb,Pyricularia oryzae,0.5287,7,37°C,Substrate_only,C(C(O)C(C(=O)[O-])CC(=O)[O-])(=O)[O-],mol_164.sdf,-0.27679069
4.1.3.17,4-carboxy-4-hydroxy-2-oxoadipate,A5W059,3NOJ.pdb,Pseudomonas putida,0.015,8,25°C,Substrate_only,C(=O)(O)C(CC(C(=O)[O-])=O)(CC(=O)[O-])O,mol_1874.sdf,-1.823908741
4.1.3.17,4-hydroxy-4-methyl-2-oxoglutarate,A5W059,3NOJ.pdb,Pseudomonas putida,1.36,8,25°C,Substrate_only,OC(CC(C(=O)[O-])=O)(C(=O)[O-])C,mol_1875.sdf,0.133538908
4.1.3.17,oxaloacetate,A5W059,3NOJ.pdb,Pseudomonas putida,0.298,8,25°C,Substrate_only,C(=O)(C(=O)O)CC(=O)[O-],mol_161.sdf,-0.525783736
4.1.3.24,acetyl-CoA,Q3J5L6,4L9Z.pdb,Cereibacter sphaeroides,0.1,-----,30°C,Substrate_only,C(C)(=O)SCCNC(CCNC([C@@H](C(COP(OP(OC[C@@H]1[C@H]([C@H]([C@@H](O1)N1C=NC=2C(N)=NC=NC12)O)OP(=O)(O)O)(=O)O)(=O)O)(C)C)O)=O)=O,mol_791.sdf,-1
4.1.3.24,(3S)-malyl-CoA,Q3J5L6,4L9Z.pdb,Cereibacter sphaeroides,0.02,-----,30°C,Substrate_only,CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)CC(C(=O)O)O)O,mol_1877.sdf,-1.698970004
4.1.3.24,propionyl-CoA,Q3J5L6,4L9Z.pdb,Cereibacter sphaeroides,0.2,-----,30°C,Substrate_only,C(CC)(=O)SCCNC(CCNC([C@@H](C(COP(OP(OC[C@@H]1[C@H]([C@H]([C@@H](O1)N1C=NC=2C(N)=NC=NC12)O)OP(=O)(O)O)(=O)O)(=O)O)(C)C)O)=O)=O,mol_833.sdf,-0.698970004
4.1.3.24,glyoxylate,Q3J5L6,4L9Z.pdb,Cereibacter sphaeroides,3.565108694,-----,30°C,Substrate_only,C(C=O)(=O)[O-],mol_160.sdf,0.552072775
4.1.3.24,beta-methylmalyl-CoA,Q3J5L6,4L9Z.pdb,Cereibacter sphaeroides,0.01,-----,30°C,Substrate_only,CC(C(C(=O)O)O)C(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O,mol_1876.sdf,-2
4.1.3.27,chorismate,P00900,1I7Q.pdb,Serratia marcescens,0.015,-----,-----,Substrate_only,C=C(C(=O)O)OC1C=C(C=CC1O)C(=O)O,mol_1878.sdf,-1.823908741
4.1.3.27,chorismate,P9WFX2,5CWA.pdb,Mycobacterium tuberculosis,0.015,8,25°C,Substrate_only,C=C(C(=O)O)OC1C=C(C=CC1O)C(=O)O,mol_1878.sdf,-1.823908741
4.1.3.3,pyruvate,Q8NMD2,5C55.pdb,Corynebacterium glutamicum,72.4,8.5,37°C,Substrate_only,C(C(=O)C)(=O)[O-],mol_149.sdf,1.859738566
4.1.3.3,N-acetylneuraminate,Q8NMD2,5C55.pdb,Corynebacterium glutamicum,87.7,8.5,37°C,Substrate_only,C(C)(=O)N[C@@H]1[C@H](CC(C([O-])=O)(O)O[C@H]1[C@H](O)[C@H](O)CO)O,mol_1182.sdf,1.942999593
4.1.3.3,N-acetyl-D-mannosamine,Q8NMD2,5C55.pdb,Corynebacterium glutamicum,92.1,8.5,37°C,Substrate_only,C(C)(=O)N[C@@H]1C(O)O[C@@H]([C@H]([C@@H]1O)O)CO,mol_1119.sdf,1.96425963
4.1.3.3,N-acetyl-D-mannosamine,Q9CKB0,4IMC.pdb,Pasteurella multocida,220,-----,-----,Substrate_only,C(C)(=O)N[C@@H]1C(O)O[C@@H]([C@H]([C@@H]1O)O)CO,mol_1119.sdf,2.342422681
4.1.3.3,N-acetylneuraminate,Q9CKB0,4IMC.pdb,Pasteurella multocida,4.9,-----,-----,Substrate_only,C(C)(=O)N[C@@H]1[C@H](CC(C([O-])=O)(O)O[C@H]1[C@H](O)[C@H](O)CO)O,mol_1182.sdf,0.69019608
4.1.3.3,N-acetylneuraminate,Q2G160,5LKY.pdb,Staphylococcus aureus,3.2,-----,30°C,Substrate_only,C(C)(=O)N[C@@H]1[C@H](CC(C([O-])=O)(O)O[C@H]1[C@H](O)[C@H](O)CO)O,mol_1182.sdf,0.505149978
4.1.3.30,"(2S,3R)-3-hydroxybutane-1,2,3-tricarboxylate",P77541,1XG4.pdb,Escherichia coli,0.024,-----,-----,Substrate_only,O[C@@]([C@H](CC(=O)[O-])C(=O)[O-])(C)C(=O)[O-],mol_1879.sdf,-1.619788758
4.1.3.32,(2R)-propyl-(3S)-methylmalate,Q2L887,3FA3.pdb,Aspergillus niger,2.7,7.5,25°C,Substrate_only,C(CC)[C@@H]([C@](C(=O)[O-])(O)C)C(=O)[O-],mol_1880.sdf,0.431363764
4.1.3.32,(2R)-ethyl-(3S)-methylmalate,Q2L887,3FA3.pdb,Aspergillus niger,1.17,7.5,25°C,Substrate_only,C(C)[C@@H]([C@](C(=O)[O-])(O)C)C(=O)[O-],mol_1881.sdf,0.068185862
4.1.3.36,2-(3-carboxypropyl)-benzoyl-CoA,P9WNP5,4QII.pdb,Mycobacterium tuberculosis,0.106,7,25°C,Substrate+Cofactor,C(=O)(O)CCCC1=C(C(=O)SCCNC(CCNC([C@@H](C(COP(OP(OC[C@@H]2[C@H]([C@H]([C@@H](O2)N2C=NC=3C(N)=NC=NC23)O)OP(=O)(O)O)(=O)O)(=O)O)(C)C)O)=O)=O)C=CC=C1,mol_1887.sdf,-0.974694135
4.1.3.36,2-succinylbenzoyl-CoA,P9WNP5,4QII.pdb,Mycobacterium tuberculosis,0.0224,7,25°C,Substrate+Cofactor,CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)C4=CC=CC=C4C(=O)CCC(=O)O)O,mol_1886.sdf,-1.649751982
4.1.3.39,(S)-4-hydroxy-2-oxopentanoate,P9WMK5,4JN6.pdb,Mycobacterium tuberculosis,0.0044,8,25°C,Substrate_only,O[C@H](CC(C(=O)[O-])=O)C,mol_1864.sdf,-2.356547324
4.1.3.39,(S)-4-hydroxy-2-oxohexanoate,P9WMK5,4JN6.pdb,Mycobacterium tuberculosis,0.0048,8,25°C,Substrate_only,O[C@H](CC(C(=O)[O-])=O)CC,mol_1888.sdf,-2.318758763
4.1.3.4,(S)-3-hydroxy-3-methylglutaryl-CoA,P35914,2CW6.pdb,Homo sapiens,0.063718129,-----,37°C,Substrate_only,O[C@](CC(=O)SCCNC(CCNC([C@@H](C(COP(OP(OC[C@@H]1[C@H]([C@H]([C@@H](O1)N1C=NC=2C(N)=NC=NC12)O)OP(=O)(O)O)(=O)O)(=O)O)(C)C)O)=O)=O)(CC(=O)O)C,mol_2726.sdf,-1.195736983
4.1.3.4,3-hydroxy-3-methylglutaryl-CoA,P35914,2CW6.pdb,Homo sapiens,0.026,-----,-----,Substrate_only,OC(CC(=O)SCCNC(CCNC([C@@H](C(COP(OP(OC[C@@H]1[C@H]([C@H]([C@@H](O1)N1C=NC=2C(N)=NC=NC12)O)OP(=O)(O)O)(=O)O)(=O)O)(C)C)O)=O)=O)(CC(=O)O)C,mol_1308.sdf,-1.585026652
4.1.3.40,chorismate,P26602,1XLR.pdb,Escherichia coli,0.0097,7.5,37°C,Substrate_only,C=C(C(=O)O)OC1C=C(C=CC1O)C(=O)O,mol_1878.sdf,-2.013228266
4.1.99.12,D-ribulose 5-phosphate,A0A0H2UN41,3LQU.pdb,Streptococcus pneumoniae,0.181,7.5,37°C,Apo site,P(=O)(O)(O)OC[C@H]([C@H](C(CO)=O)O)O,mol_2007.sdf,-0.742321425
4.1.99.12,D-ribulose 5-phosphate,P66032,3LQU.pdb,Salmonella enterica subsp. enterica serovar Typhimurium,0.116,7.5,37°C,Substrate_only,P(=O)(O)(O)OC[C@H]([C@H](C(CO)=O)O)O,mol_2007.sdf,-0.935542011
4.1.99.2,3-fluoro-L-tyrosine,P31013,2YCT.pdb,Citrobacter freundii,0.1,8,30°C,Substrate+Cofactor,FC=1C=C(C[C@H](N)C(=O)O)C=CC1O,mol_1894.sdf,-1
4.1.99.2,S-(2-nitrophenyl)-L-cysteine,P31013,2YCT.pdb,Citrobacter freundii,0.21,8,30°C,Substrate+Cofactor,[N+](=O)([O-])C1=C(C=CC=C1)SC[C@H](N)C(=O)O,mol_1890.sdf,-0.677780705
4.1.99.2,L-tyrosine,P31013,2YCT.pdb,Citrobacter freundii,0.2,8,30°C,Substrate+Cofactor,N[C@@H](CC1=CC=C(C=C1)O)C(=O)O,mol_445.sdf,-0.698970004
4.1.99.2,S-Benzyl-L-cysteine,P31013,2YCT.pdb,Citrobacter freundii,0.12,8,30°C,Substrate+Cofactor,C(C1=CC=CC=C1)SC[C@H](N)C(=O)O,mol_1891.sdf,-0.920818754
4.1.99.2,S-ethyl-L-cysteine,P31013,2YCT.pdb,Citrobacter freundii,1.57,8,30°C,Substrate+Cofactor,C(C)SC[C@H](N)C(=O)O,mol_1889.sdf,0.195899652
4.1.99.2,beta-chloro-L-alanine,P31013,2YCT.pdb,Citrobacter freundii,2.12,8,30°C,Substrate+Cofactor,ClC[C@H](N)C(=O)O,mol_1892.sdf,0.326335861
4.1.99.2,S-methyl-L-cysteine,P31013,2YCT.pdb,Citrobacter freundii,2.32,8,30°C,Substrate+Cofactor,CSC[C@H](N)C(=O)O,mol_1897.sdf,0.365487985
4.1.99.5,n-Heptanal,Q54764,4RC8.pdb,Synechococcus elongatus,0.244,7.2,22°C,Substrate_only,C(CCCCCC)=O,mol_120.sdf,-0.612610174
4.1.99.5,n-Heptanal,Q55688,4RC7.pdb,Synechocystis sp. PCC 6803,0.35,-----,-----,Apo site,C(CCCCCC)=O,mol_120.sdf,-0.455931956
4.2.1.1,CO2,C0QRB5,6IM1.pdb,Persephonella marina,10.8,7.8,25°C,Substrate_only,C(=O)=O,mol_561.sdf,1.033423755
4.2.1.1,CO2,P40881,1QRE.pdb,Methanosarcina thermophila,19.08035639,7.5,37°C,Substrate_only,C(=O)=O,mol_561.sdf,1.280586482
4.2.1.1,CO2,Q16790,6G9U.pdb,Homo sapiens,7.1484264,-----,-----,Substrate_only,C(=O)=O,mol_561.sdf,0.85421045
4.2.1.1,CO2,Q9ULX7,5CJF.pdb,Homo sapiens,7.9,7.5,25°C,Substrate_only,C(=O)=O,mol_561.sdf,0.897627091
4.2.1.10,3-dehydroquinate,P58687,3S42.pdb,Salmonella enterica,0.021,7.5,37°C,Substrate_only,C1C(C(C(=O)CC1(C(=O)[O-])O)O)O,mol_1900.sdf,-1.677780705
4.2.1.10,3-dehydroquinate,Q48255,2C4W.pdb,Helicobacter pylori,0.075,7.5,25°C,Substrate_only,C1C(C(C(=O)CC1(C(=O)[O-])O)O)O,mol_1900.sdf,-1.124938737
4.2.1.10,3-dehydroquinate,Q48255,2C4W.pdb,Helicobacter pylori,0.48,7,25°C,Substrate_only,C1C(C(C(=O)CC1(C(=O)[O-])O)O)O,mol_1900.sdf,-0.318758763
4.2.1.10,3-dehydroquinate,P24670,4CNN.pdb,Salmonella enterica subsp. enterica serovar Typhi,0.024,7.2,25°C,Substrate_only,C1C(C(C(=O)CC1(C(=O)[O-])O)O)O,mol_1900.sdf,-1.619788758
4.2.1.10,3-dehydroquinate,P9WPX7,2Y71.pdb,Mycobacterium tuberculosis,0.024,7,25°C,Substrate_only,C1C(C(C(=O)CC1(C(=O)[O-])O)O)O,mol_1900.sdf,-1.619788758
4.2.1.103,2-naphthyl isocyanide,Q4K977,3NON.pdb,Pseudomonas fluorescens,0.0522,7.4,25°C,Substrate_only,C1=C(C=CC2=CC=CC=C12)[N+]#[C-],mol_1901.sdf,-1.282329497
4.2.1.108,(2S)-4-acetamido-2-aminobutanoate,Q1GNW6,5BY5.pdb,Sphingopyxis alaskensis,4.9,8.5,15°C,Substrate_only,C(C)(=O)NCC[C@@H](C(=O)[O-])N,mol_1903.sdf,0.69019608
4.2.1.108,"N-alpha-acetyl-L-2,4-diaminobutanoate",Q1GNW6,5BY5.pdb,Sphingopyxis alaskensis,25.4,8.5,15°C,Substrate_only,CC(=O)NCCC(C(=O)O)N,mol_1902.sdf,1.404833717
4.2.1.11,2-phospho-D-glycerate,A9WCM4,4Z1Y.pdb,Chloroflexus aurantiacus,0.03,6.5,80°C,Substrate_only,C(C(C(=O)O)OP(=O)(O)O)O,mol_2033.sdf,-1.522878745
4.2.1.11,2-phospho-D-glycerate,A9WCM4,4Z1Y.pdb,Chloroflexus aurantiacus,0.16,6.5,25°C,Substrate_only,C(C(C(=O)O)OP(=O)(O)O)O,mol_2033.sdf,-0.795880017
4.2.1.11,2-phospho-D-glycerate,P00924,2AL1.pdb,Saccharomyces cerevisiae,0.043,7.5,25°C,Substrate_only,C(C(C(=O)O)OP(=O)(O)O)O,mol_2033.sdf,-1.366531544
4.2.1.110,"1,5-Anhydro-D-fructose",P84193,4A7Z.pdb,Phanerodontia chrysosporium,5.4,-----,-----,Substrate_only,C1C(=O)[C@@H](O)[C@H](O)[C@H](O1)CO,mol_2727.sdf,0.73239376
4.2.1.110,glucosone,P84193,4A7Z.pdb,Phanerodontia chrysosporium,4.9,-----,-----,Substrate_only,C(C(C(C(C(=O)C=O)O)O)O)O,mol_2728.sdf,0.69019608
4.2.1.113,"(1R,6R)-6-hydroxy-2-succinylcyclohexa-2,4-diene-1-carboxylate",P29208,1FHV.pdb,Escherichia coli,0.078,8,25°C,Substrate_only,C1=CC(C(C(=C1)C(=O)CCC(=O)O)C(=O)O)O,mol_1904.sdf,-1.107905397
4.2.1.113,"(1R,6R)-6-hydroxy-2-succinylcyclohexa-2,4-diene-1-carboxylate",Q47Q21,2OPJ.pdb,Thermobifida fusca,0.182,8,25°C,Substrate_only,C1=CC(C(C(=C1)C(=O)CCC(=O)O)C(=O)O)O,mol_1904.sdf,-0.739928612
4.2.1.116,3-hydroxypropionyl-CoA,A4YI89,5ZAI.pdb,Metallosphaera sedula,0.06,8.6,65°C,Substrate_only,OCCC(=O)SCCNC(CCNC([C@@H](C(COP(OP(OC[C@@H]1[C@H]([C@H]([C@@H](O1)N1C=NC=2C(N)=NC=NC12)O)OP(=O)(O)O)(=O)O)(=O)O)(C)C)O)=O)=O,mol_1905.sdf,-1.22184875
4.2.1.116,(S)-3-hydroxybutyryl-CoA,A4YI89,5ZAI.pdb,Metallosphaera sedula,0.075,8.6,65°C,Substrate_only,O[C@H](CC(=O)SCCNC(CCNC([C@@H](C(COP(OP(OC[C@@H]1[C@H]([C@H]([C@@H](O1)N1C=NC=2C(N)=NC=NC12)O)OP(=O)(O)O)(=O)O)(=O)O)(C)C)O)=O)=O)C,mol_2181.sdf,-1.124938737
4.2.1.116,3-hydroxypropanoyl-CoA,A4YI89,5ZAI.pdb,Metallosphaera sedula,0.0251,6.5,65°C,Substrate_only,OCCC(=O)SCCNC(CCNC([C@@H](C(COP(OP(OC[C@@H]1[C@H]([C@H]([C@@H](O1)N1C=NC=2C(N)=NC=NC12)O)OP(=O)(O)O)(=O)O)(=O)O)(C)C)O)=O)=O,mol_1905.sdf,-1.600326279
4.2.1.127,linalool,E1XUJ2,5G1W.pdb,Castellaniella defragrans,0.75,9,35°C,Substrate_only,C=CC(O)(C)CCC=C(C)C,mol_2729.sdf,-0.124938737
4.2.1.130,methylglyoxal,Q10356,4QYT.pdb,Schizosaccharomyces pombe,10.8,-----,-----,Substrate_only,CC(=O)C=O,mol_84.sdf,1.033423755
4.2.1.144,5-amino-5-deoxy-3-dehydroshikimate,O52552,1B9I.pdb,Amycolatopsis mediterranei,0.164,7.5,28°C,Substrate_only,C1C(C(C(=O)C=C1C(=O)O)O)N,mol_2730.sdf,-0.785156152
4.2.1.147,formaldehyde,Q9FA38,1Y60.pdb,Methylorubrum extorquens,0.2,8,30°C,Substrate_only,C=O,mol_514.sdf,-0.698970004
4.2.1.147,"5,6,7,8-tetrahydromethanopterin",Q9FA38,1Y60.pdb,Methylorubrum extorquens,1,8,30°C,Substrate_only,N1C=2C(=O)NC(N)=NC2N[C@@H](C)C1[C@@H](C)NC1=CC=C(C[C@@H]([C@@H]([C@@H](CO[C@H]2O[C@H](COP(O[C@@H](CCC(O)=O)C(O)=O)(O)=O)[C@H]([C@H]2O)O)O)O)O)C=C1,mol_2731.sdf,0
4.2.1.156,L-talarate,Q8ZL58,2PP1.pdb,Salmonella enterica subsp. enterica serovar Typhimurium,0.23,8,25°C,Substrate_only,O=C([C@H](O)[C@H](O)[C@H](O)[C@@H](O)C(=O)[O-])[O-],mol_1906.sdf,-0.638272164
4.2.1.158,galactarate,Q8EMJ9,3ES7.pdb,Oceanobacillus iheyensis,0.62,8,30°C,Substrate_only,O=C([C@H](O)[C@@H](O)[C@@H](O)[C@H](O)C(=O)[O-])[O-],mol_1907.sdf,-0.207608311
4.2.1.159,dTDP-4-dehydro-6-deoxy-alpha-D-glucopyranose,O52793,4J7H.pdb,Amycolatopsis orientalis,0.056,7.5,25°C,Substrate_only,CC1C(=O)C(C(C(O1)OP(=O)(O)OP(=O)(O)OCC2C(CC(O2)N3C=C(C(=O)NC3=O)C)O)O)O,mol_1034.sdf,-1.251811973
4.2.1.2,(S)-malate,P05042,6NZ9.pdb,Escherichia coli,0.93,6.9,37°C,Substrate_only,C([C@@H](O)CC(=O)[O-])(=O)[O-],mol_179.sdf,-0.031517051
4.2.1.2,"(S,S)-Tartrate",P05042,6NZ9.pdb,Escherichia coli,6.2,6.9,37°C,Substrate_only,C(=O)([O-])[C@@H](O)[C@H](O)C(=O)[O-],mol_2732.sdf,0.792391689
4.2.1.2,"(2S,3S)-tartrate",P05042,6NZ9.pdb,Escherichia coli,6.2,6.9,37°C,Substrate_only,C(C(C(=O)[O-])O)(C(=O)[O-])O,mol_2733.sdf,0.792391689
4.2.1.2,fumarate,P05042,6NZ9.pdb,Escherichia coli,0.28,6.9,37°C,Substrate_only,C(\C=C\C(=O)[O-])(=O)[O-],mol_1908.sdf,-0.552841969
4.2.1.20,L-threonine,Q8U093,5IXJ.pdb,Pyrococcus furiosus,1.3,8,-----,Substrate_only,N[C@@H]([C@H](O)C)C(=O)O,mol_36.sdf,0.113943352
4.2.1.20,1-C-(indol-3-yl)glycerol 3-phosphate,Q8U093,5IXJ.pdb,Pyrococcus furiosus,0.02,8,-----,Substrate_only,P(=O)(O)(O)OCC(C(O)C1=CNC2=CC=CC=C12)O,mol_2734.sdf,-1.698970004
4.2.1.20,indole,Q8U093,5IXJ.pdb,Pyrococcus furiosus,0.077,8,75°C,Substrate_only,N1C=CC2=CC=CC=C12,mol_296.sdf,-1.113509275
4.2.1.22,L-homocysteine,F9UT54,5B1H.pdb,Lactiplantibacillus plantarum,0.54,7.5,37°C,Substrate_only,N[C@@H](CCS)C(=O)O,mol_734.sdf,-0.26760624
4.2.1.22,L-cysteine,F9UT54,5B1H.pdb,Lactiplantibacillus plantarum,7.246378406,7.5,37°C,Substrate_only,N[C@@H](CS)C(=O)O,mol_313.sdf,0.860121009
4.2.1.24,5-aminolevulinic acid,P13716,1E51.pdb,Homo sapiens,0.02,9,-----,Substrate_only,NCC(CCC(=O)O)=O,mol_1909.sdf,-1.698970004
4.2.1.24,5-aminolevulinic acid,P13716,1E51.pdb,Homo sapiens,0.2,7,-----,Substrate_only,NCC(CCC(=O)O)=O,mol_1909.sdf,-0.698970004
4.2.1.24,5-aminolevulinic acid,Q59643,2C15.pdb,Pseudomonas aeruginosa,0.00032,-----,-----,Substrate_only,NCC(CCC(=O)O)=O,mol_1909.sdf,-3.494850022
4.2.1.28,"(S)-propane-1,2-diol",Q59470,1EEX.pdb,Klebsiella oxytoca,0.11,8,37°C,Substrate+Cofactor,C([C@H](C)O)O,mol_2735.sdf,-0.958607315
4.2.1.28,"(R)-Propane-1,2-diol",Q59470,1EEX.pdb,Klebsiella oxytoca,0.47,8,37°C,Substrate+Cofactor,C([C@@H](C)O)O,mol_213.sdf,-0.327902142
4.2.1.28,"Propane-1,2-diol",Q59470,1EEX.pdb,Klebsiella oxytoca,0.15,-----,-----,Substrate+Cofactor,C(C(C)O)O,mol_1910.sdf,-0.823908741
4.2.1.3,"(2R,3S)-2-methylisocitrate",P36683,1L5J.pdb,Escherichia coli,0.21,-----,-----,Substrate_only,CC(C(CC(=O)[O-])C(=O)[O-])(C(=O)[O-])O,mol_1873.sdf,-0.677780705
4.2.1.30,"1,2-propanediol",Q59475,1IWP.pdb,Klebsiella pneumoniae,1.43,8,37°C,Substrate_only,C(C(C)O)O,mol_1910.sdf,0.155336037
4.2.1.30,"1,2-ethanediol",Q59475,1IWP.pdb,Klebsiella pneumoniae,3.07,8,37°C,Substrate_only,C(CO)O,mol_2736.sdf,0.487138375
4.2.1.41,5-dehydro-4-deoxy-D-glucarate,Q8UB77,4UR7.pdb,Agrobacterium fabrum,0.5,7.5,22°C,Substrate_only,O=C([C@H](O)[C@@H](O)CC(=O)C(=O)[O-])[O-],mol_1914.sdf,-0.301029996
4.2.1.46,dTDP-glucose,P27830,1BXK.pdb,Escherichia coli,2.2,7.5,37°C,Cofactor_only,CC1=CN(C(=O)NC1=O)C2CC(C(O2)COP(=O)(O)OP(=O)(O)OC3C(C(C(C(O3)CO)O)O)O)O,mol_1915.sdf,0.342422681
4.2.1.46,UDP-glucose,P27830,1BXK.pdb,Escherichia coli,30,7.5,37°C,Cofactor_only,C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OC3C(C(C(C(O3)CO)O)O)O)O)O,mol_144.sdf,1.477121255
4.2.1.47,GDPmannose,O60547,6GPK.pdb,Homo sapiens,0.003,-----,-----,Substrate+Cofactor,C1=NC2=C(N1C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OC4C(C(C(C(O4)CO)O)O)O)O)O)N=C(NC2=O)N,mol_869.sdf,-2.522878745
4.2.1.47,GDP-mannose,O60547,6GPK.pdb,Homo sapiens,0.003569314,8,-----,Substrate+Cofactor,C1=NC2=C(N1C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OC4C(C(C(C(O4)CO)O)O)O)O)O)N=C(NC2=O)N,mol_869.sdf,-2.447415286
4.2.1.47,GDP-mannose,Q51366,1RPN.pdb,Pseudomonas aeruginosa,0.01402,7.5,37°C,Substrate+Cofactor,C1=NC2=C(N1C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OC4C(C(C(C(O4)CO)O)O)O)O)O)N=C(NC2=O)N,mol_869.sdf,-1.853251986
4.2.1.53,oleic acid,C7DLJ6,4UIR.pdb,Elizabethkingia meningoseptica,0.250998008,8,30°C,Substrate+Cofactor,C(CCCCCCC\C=C/CCCCCCCC)(=O)O,mol_2737.sdf,-0.600329725
4.2.1.53,oleic acid,C7DLJ6,4UIR.pdb,Elizabethkingia meningoseptica,0.078,8,22°C,Substrate+Cofactor,C(CCCCCCC\C=C/CCCCCCCC)(=O)O,mol_2737.sdf,-1.107905397
4.2.1.70,pseudouridine 5'-phosphate,P33025,4GIK.pdb,Escherichia coli,0.06,7.1,30°C,Substrate_only,P(=O)(O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)C1=CNC(=O)NC1=O)O)O,mol_2738.sdf,-1.22184875
4.2.1.78,4-hydroxyphenylacetaldehyde,Q67A25,6RP3.pdb,Thalictrum flavum,0.33,7.5,37°C,Substrate_only,OC1=CC=C(C=C1)CC=O,mol_1917.sdf,-0.48148606
4.2.1.8,D-mannonate,A4VVI4,3BDK.pdb,Streptococcus suis,3,7.5,-----,Substrate_only,O=C([C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO)[O-],mol_1918.sdf,0.477121255
4.2.1.8,D-mannonate,P24215,4EAY.pdb,Escherichia coli,4.79,7.5,37°C,Substrate_only,O=C([C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO)[O-],mol_1918.sdf,0.680335513
4.2.1.84,Benzonitrile,Q7SID2,4OB0.pdb,Pseudonocardia thermophila,0.02,7.6,25°C,Substrate_only,C(C1=CC=CC=C1)#N,mol_1922.sdf,-1.698970004
4.2.1.84,Methacrylonitrile,Q7SID2,4OB0.pdb,Pseudonocardia thermophila,0.49,7.6,25°C,Substrate_only,C(C(=C)C)#N,mol_1919.sdf,-0.30980392
4.2.1.84,3-Cyanopyridine,Q7SID2,4OB0.pdb,Pseudonocardia thermophila,0.12,7.6,25°C,Substrate_only,C(#N)C=1C=NC=CC1,mol_1921.sdf,-0.920818754
4.2.1.84,acrylonitrile,Q7SID2,4OB0.pdb,Pseudonocardia thermophila,3.6,7.6,25°C,Substrate_only,C(C=C)#N,mol_1923.sdf,0.556302501
4.2.1.84,4-cyanopyridine,Q7SID2,4OB0.pdb,Pseudonocardia thermophila,0.079,7.6,25°C,Substrate_only,C(#N)C1=CC=NC=C1,mol_1920.sdf,-1.102372909
4.2.1.90,L-lyxonate,P77215,3CXO.pdb,Escherichia coli K-12,2,7.9,25°C,Apo site,O=C([C@H](O)[C@H](O)[C@@H](O)CO)[O-],mol_1925.sdf,0.301029996
4.2.1.90,L-Rhamnonate,P77215,3CXO.pdb,Escherichia coli K-12,0.15,7.9,25°C,Apo site,O=C([C@H](O)[C@H](O)[C@@H](O)[C@@H](O)C)[O-],mol_1926.sdf,-0.823908741
4.2.1.90,L-mannonate,P77215,3CXO.pdb,Escherichia coli K-12,0.15,7.9,25°C,Apo site,O=C([C@H](O)[C@H](O)[C@@H](O)[C@@H](O)CO)[O-],mol_1924.sdf,-0.823908741
4.2.1.90,L-mannonate,Q8ZNF9,3D47.pdb,Salmonella enterica subsp. enterica serovar Typhimurium,0.06,7.9,25°C,Substrate_only,O=C([C@H](O)[C@H](O)[C@@H](O)[C@@H](O)CO)[O-],mol_1924.sdf,-1.22184875
4.2.1.90,L-Rhamnonate,Q8ZNF9,3D47.pdb,Salmonella enterica subsp. enterica serovar Typhimurium,0.25,7.9,25°C,Substrate_only,O=C([C@H](O)[C@H](O)[C@@H](O)[C@@H](O)C)[O-],mol_1926.sdf,-0.602059991
4.2.1.90,L-lyxonate,Q8ZNF9,3D47.pdb,Salmonella enterica subsp. enterica serovar Typhimurium,1.6,7.9,25°C,Substrate_only,O=C([C@H](O)[C@H](O)[C@@H](O)CO)[O-],mol_1925.sdf,0.204119983
